x: 42.75627046703762  y: 186.66740428906115  
x: 675.2045249481621  y: 346.8281655993243  
x: 275.7268203480951  y: 191.44986642804616  
x: 401.2015073398738  y: 607.9921165898281  
x: 330.22855087730363  y: 244.73868440713522  
x: 325.3590605358981  y: 782.3087734995183  
x: 146.63027323302228  y: 408.5726097787118  
x: 442.37962677979834  y: 184.1672011749747  
x: 312.59532653712256  y: 647.8478504773327  
x: 690.944098280904  y: 232.1569272797672  
x: 575.2057913007345  y: 540.5889260635191  
x: 532.7574600321735  y: 122.51462766430103  
x: 36.51114332610126  y: 281.71569354065105  
x: 363.7407943765131  y: 665.0849488195234  
x: 110.15473168974088  y: 6.431398753287532  
x: 482.0362823817362  y: 506.090346842178  
x: 758.3943901638244  y: 382.569573030833  
x: 585.5583892571617  y: 268.21953846925624  
x: 705.7940252064634  y: 660.6470342790567  
x: 795.2116361861209  y: 402.0986931045349  
x: 449.1945169380694  y: 162.38864514672144  
x: 529.9171568744476  y: 781.8242683639204  
x: 653.4476313678541  y: 568.1443195677588  
x: 534.9949729309121  y: 559.7648427696565  
x: 478.4732582936366  y: 690.7865618687256  
x: 274.42169071306324  y: 476.22702118379567  
x: 622.5548494072232  y: 17.14898276089274  
x: 440.45247219399846  y: 112.47794015891293  
x: 720.6429578189502  y: 467.9759119946659  
x: 345.51135059912116  y: 51.35826104808263  
x: 35.75836473947484  y: 388.53750550210407  
x: 772.1999249610254  y: 344.5383825298622  
x: 308.8976037737706  y: 68.71731244728458  
x: 741.6902257866034  y: 12.61992203240414  
x: 347.5444227661411  y: 784.8446496252707  
x: 645.3241508584574  y: 437.3134556945848  
x: 95.43400964394371  y: 229.81882454833186  
x: 446.56218478457737  y: 619.7034324135661  
x: 167.48737579976031  y: 297.1615670972358  
x: 44.89981913834819  y: 54.46186576715979  
x: 412.6285354797836  y: 455.1069585157811  
x: 737.6140701815899  y: 716.802849720705  
x: 376.78134898483637  y: 41.82298936748641  
x: 677.4682308988538  y: 54.9286014586074  
x: 553.4044737317004  y: 347.18682792203373  
x: 139.33929180530572  y: 184.76541694796032  
x: 689.7095961764131  y: 680.9484621969569  
x: 601.6065254942671  y: 541.2656002589853  
x: 790.569593386524  y: 630.2721150324469  
x: 750.4308578748148  y: 721.3549685317103  
x: 108.28662916545078  y: 503.7170826365796  
x: 211.68365597152246  y: 54.8010936258172  
